,T_DATA_RT,T_DATA_F1_RT,T_DATA_F2_RT,T_DATA_F3_RT,I_DATA_RT,I_DATA_F1_RT,I_DATA_F2_RT,I_DATA_F3_RT,M_DATA_RT,M_DATA_F1_RT,M_DATA_F2_RT,M_DATA_F3_RT,R_DATA_RT,R_DATA_F1_RT,R_DATA_F2_RT,R_DATA_F3_RT,L_DATA_RT,L_DATA_F1_RT,L_DATA_F2_RT,L_DATA_F3_RT
548,63.0,62.71000000000001,65.39445319341525,65.08063242606167,46.0,61.73000000000001,64.95129774172425,65.28667589088656,30.0,59.10999999999997,63.15720816009643,65.09045332827392,25.0,58.94999999999998,63.22666872760433,65.11860829942138,18.0,57.71,62.48075977872226,65.02117286945926
549,63.0,62.74000000000001,65.38734227399704,65.10214958890401,44.0,61.540000000000006,64.85694350295536,65.27707865116028,28.0,58.75999999999997,62.818845952754664,65.03541153211876,23.0,58.54999999999998,62.88272321887119,65.06758273123738,17.0,57.25,62.01658884357398,64.95314321562856
550,63.0,62.77000000000001,65.37993237221912,65.1227117993491,44.0,61.35000000000001,64.74564927120149,65.26529037912263,28.0,58.409999999999975,62.44727642590069,64.97345776563235,23.0,58.149999999999984,62.50061287870177,65.00881018871061,17.0,56.79,61.50600974203709,64.87517057976113
551,63.0,62.80000000000001,65.37227249143035,65.14230162212951,42.0,61.14000000000001,64.61593149696098,65.25094308094945,26.0,58.03999999999997,62.04164328549432,64.90392469256102,21.0,57.72999999999998,62.078965613153805,64.94151971216668,15.0,56.31,60.94836592583761,64.78631922104469
552,63.0,62.82000000000001,65.36727383875662,65.16096298791436,42.0,60.93000000000001,64.46641347104166,65.23358387464673,26.0,57.66999999999997,61.60130155079358,64.8260147865194,21.0,57.30999999999998,61.616725267144595,64.86491826532136,15.0,55.83,60.3433481077022,64.6855884700468
553,63.0,62.84000000000001,65.36207893362544,65.17868570950307,41.0,60.71000000000001,64.29585652356005,65.21279307684303,25.0,57.28999999999997,61.12583454679639,64.739035667833,20.0,56.87999999999998,61.113160634749825,64.77819722493328,15.0,55.35,59.69099569898954,64.57203510928221
554,63.0,62.86000000000001,65.35672120804784,65.19546318243266,40.0,60.48000000000001,64.10318681880635,65.18812963377869,24.0,56.89999999999997,60.61506731940559,64.64217475222588,20.0,56.44999999999998,60.56790034911399,64.68059685953035,14.0,54.86,58.99175381477486,64.44466641388914
555,63.0,62.88000000000001,65.35123258388603,65.21129223039799,40.0,60.25000000000001,63.88748888558499,65.15913427169708,24.0,56.50999999999997,60.06904759531094,64.5346198769532,20.0,56.01999999999998,59.98096111044001,64.57135604739756,14.0,54.37,58.246433039992105,64.30256285310585
556,63.0,62.900000000000006,65.34564344856696,65.22617294479026,40.0,60.02000000000001,63.64802811505135,65.12533309834663,24.0,56.119999999999976,59.488056499665305,64.41567899327963,20.0,55.58999999999998,59.35274059539742,64.44966243135593,14.0,53.88,57.45614194305879,64.14482624930106
557,63.0,62.92000000000001,65.33998263779993,65.24010851917711,39.0,59.78000000000001,63.384269451826704,65.08624157922651,22.0,55.70999999999997,58.872587091433346,64.28466874341886,19.0,55.149999999999984,58.68395003615748,64.31471657339263,13.0,53.38,56.62225427181239,63.970585128977035
558,63.0,62.94000000000001,65.33427742503338,65.25310507992464,39.0,59.540000000000006,63.0958925450035,65.04136881786984,22.0,55.299999999999976,58.223294624499374,64.14086045368201,19.0,54.70999999999998,57.97558145288869,64.16579489581238,13.0,52.88,55.74640691340529,63.77894274522667
559,63.0,62.95000000000001,65.33141789677097,65.2652288017506,38.0,59.290000000000006,62.78280361639989,64.99022207442206,21.0,54.879999999999974,57.5410096391441,63.983484434148146,18.0,54.259999999999984,57.228905620976136,64.00213996734787,12.0,52.37,54.83049579182719,63.56904034746991
560,63.0,62.96000000000001,65.32852610048718,65.27649040397878,38.0,59.040000000000006,62.44508600127109,64.93231029607331,21.0,54.45999999999997,56.826748033451175,63.81190652373321,18.0,53.80999999999998,56.445409653289005,63.82302273513666,12.0,51.86,53.8766116229921,63.34011859034335
561,63.0,62.970000000000006,65.32561567953434,65.2869028386786,37.0,58.78000000000001,62.08295521761988,64.86714674960265,20.0,54.02999999999997,56.08168920808317,63.625515663226274,18.0,53.359999999999985,55.62676917408881,63.627746354040575,12.0,51.35,52.88701049414972,63.091463009112886
562,63.0,62.98000000000001,65.32269948048483,65.29648113033987,37.0,58.52000000000001,61.6967474730739,64.79425142511177,20.0,53.59999999999997,55.30715532336095,63.423669464031775,18.0,52.90999999999998,54.77488030509775,63.41565065663126,12.0,50.84,51.86414447718771,62.82240795538692
563,63.0,62.99000000000001,65.31978955490776,65.30524221582704,37.0,58.26000000000001,61.28693771574402,64.71315321854176,20.0,53.16999999999997,54.50462080182107,63.205812586412904,18.0,52.45999999999998,53.89185667484928,63.18605927679251,12.0,50.33,50.810657476830016,62.532283161655926
564,63.0,63.00000000000001,65.31689716360748,65.31326207303964,36.0,57.99000000000001,60.85415442935308,64.62339190139053,20.0,52.739999999999974,53.675748399074116,62.97142264888177,18.0,52.009999999999984,52.97999555334064,62.93839871366712,12.0,49.82,49.72935040510943,62.22053222647024
565,63.0,63.00000000000001,65.31689716360748,65.32056023398385,36.0,57.720000000000006,60.399133120027464,64.52452046840932,20.0,52.309999999999974,52.822390104962956,62.72001400557234,18.0,51.55999999999998,52.04174610980982,62.67214356843968,12.0,49.31,48.62314866945934,61.88665725659909
566,63.0,63.00000000000001,65.31689716360748,65.32715749265677,36.0,57.45000000000001,59.922703490004416,64.41610838175994,20.0,51.879999999999974,51.94655697794645,62.451083634964604,18.0,51.109999999999985,51.079679738826115,62.38681903596804,12.0,48.8,47.49507190921109,61.530220751512196
567,63.0,63.00000000000001,65.31689716360748,65.33307576759877,36.0,57.18000000000001,59.42580639140571,64.29774441195815,20.0,51.449999999999974,51.050390911532695,62.164229082861326,18.0,50.65999999999998,50.096462399117215,62.081945555708614,12.0,48.29,46.348205914091,61.15084634357905
568,63.0,63.00000000000001,65.31689716360748,65.33833796732253,35.0,56.900000000000006,58.90944945356697,64.16903793236399,19.0,51.00999999999997,50.13610913402414,61.85909210481606,18.0,50.20999999999998,49.0948289070444,61.757155565509784,11.0,47.77,45.185647510454984,60.74821792618816
569,63.0,63.00000000000001,65.31689716360748,65.34296785900597,35.0,56.62000000000001,58.37469637478322,64.02962000148591,19.0,50.56999999999997,49.205925049411576,61.535358575034074,18.0,49.759999999999984,48.07755912550125,61.412136586583514,11.0,47.25,44.01042600735602,60.32207851834104
570,63.0,63.00000000000001,65.31689716360748,65.34698994104619,35.0,56.34000000000001,57.822685967951344,63.8791448278342,19.0,50.129999999999974,48.2620362324532,61.192758157191825,18.0,49.30999999999998,47.04745598815025,61.046631716738794,11.0,46.73,42.82552114684627,59.872230640467954
571,63.0,63.00000000000001,65.31689716360748,65.35042931939317,34.0,56.05000000000001,57.2545898496342,63.71729039070385,19.0,49.68999999999997,47.30667173771468,60.831064923130924,18.0,48.859999999999985,46.007325296973505,60.66038243157651,12.0,46.22,41.63396604069591,59.39853800599311
572,63.0,63.00000000000001,65.31689716360748,65.35331158839409,34.0,55.76000000000001,56.671603760005695,63.54375888884412,19.0,49.24999999999997,46.34210392488586,60.45009820986624,18.0,48.40999999999998,44.95995723064486,60.25324363292538,12.0,45.71,40.438849413268485,58.90092659807669
573,63.0,63.00000000000001,65.31689716360748,65.35566271608897,34.0,55.470000000000006,56.074997746101104,63.358278194678945,19.0,48.809999999999974,45.37062889505245,60.04972308689294,18.0,47.95999999999998,43.908109500406624,59.82506787966359,12.0,45.2,39.24322901358461,58.37938401580069
574,63.0,63.00000000000001,65.31689716360748,65.3575089341987,34.0,55.18000000000001,55.46613043262461,63.1606035956848,19.0,48.369999999999976,44.394548528525874,59.62985046569859,18.0,47.509999999999984,42.854492089600924,59.375819778188834,12.0,44.69,38.05008391367018,57.833957867477544
575,63.0,63.00000000000001,65.31689716360748,65.35887663326896,34.0,54.89000000000001,54.846431497293395,62.95051918689294,19.0,47.92999999999997,43.416154065398715,59.19043688253593,18.0,47.05999999999998,41.80175351201025,58.90551690513895,12.0,44.18,36.862301467423194,57.26475390456705
576,63.0,63.00000000000001,65.31689716360748,65.35979226262728,34.0,54.60000000000001,54.21738536348596,62.727838938910764,19.0,47.489999999999974,42.43771116872696,58.731485149337324,18.0,46.609999999999985,40.75246852470676,58.41422949822343,12.0,43.67,35.68269495264051,56.671934509384215
577,63.0,63.00000000000001,65.31689716360748,65.36028223580186,34.0,54.31000000000001,53.58051607310992,62.49240746499459,20.0,47.059999999999974,41.461475556836625,58.25304866994738,20.0,46.17999999999998,39.7091855232703,57.90208444581376,15.0,43.19,34.51410645395242,56.05572099071106
578,63.0,63.00000000000001,65.31689716360748,65.36037284101674,34.0,54.02000000000001,52.93737330135866,62.24410050997702,20.0,46.629999999999974,40.489735482558025,57.755238362087496,20.0,45.74999999999998,38.67452623065075,57.369273025669735,15.0,42.71,33.35949672146684,55.41640095544733
